pro,score
excellentcool culturenew office,9.4
cheas every driver,9.4
paying good nowpeople,9.346938775510203
make good money,9.346938775510203
last 2weeksv good,9.346938775510203
individually good peers,9.346938775510203
good tech stack,9.346938775510203
good colleaguesnoting much,9.346938775510203
good colleague co,9.346938775510203
find anything good,9.346938775510203
fast moving company,9.342857142857142
people really loved,9.34090909090909
still feels like,9.333333333333334
sound employee policies,9.333333333333334
roles provide lot,9.333333333333334
relocation bonus ).,9.333333333333334
provide mac instantly,9.333333333333334
life easyno prons,9.333333333333334
goodgood growth opportunities,9.333333333333334
find many pros,9.333333333333334
factors like rain,9.333333333333334
another life problem,9.333333333333334
snacksmy previous team,9.3
flexible timingsnew things,9.3
corp sales team,9.3
central teamtech team,9.3
best opportunitythe team,9.3
best helpful team,9.3
mac bookgood learning,9.291666666666666
company rewards people,9.290909090909091
open environementgood environment,9.263157894736842
highly political environment,9.263157894736842
high profiled people,9.257575757575758
vcani technologies ola,9.25
usegives full opportunity,9.25
solvefree food gym,9.25
retina displaythey pay,9.25
meeting timegood package,9.25
industry leadersfree food,9.25
grownew technologies coming,9.25
freshers alsodecent pay,9.25
existent :- culture,9.25
end ownership opportunity,9.25
dinnergood pantrygood pay,9.25
definitely handsome package,9.25
brand namegood package,9.25
say old time,9.2
others domestic company,9.2
ola best company,9.2
learn tech stuffola,9.2
learn many things,9.2
first time jobbers,9.2
decent workample flexibility,9.2
decent tech stack,9.2
data rich company,9.2
company seriously nails,9.2
thats allyou get,9.181818181818182
ityou get lots,9.181818181818182
get ola money,9.181818181818182
even get snacks,9.181818181818182
worksome great minds,9.176470588235293
great management support,9.176470588235293
great future aheadfree,9.176470588235293
things move fast,9.142857142857142
fast pacedfancy laptops,9.142857142857142
fast pace environmentlearning,9.142857142857142
fast growing organization,9.142857142857142
steep growth curve,9.125
different experience altogether,9.125
attract people towards,9.09090909090909
youcan directly go,9.0
ya whenever happenscompany,9.0
would give satisfaction2,9.0
worst companyhelpful ppl,9.0
worklearningsand definitely branding,9.0
workgood management teamlot,9.0
wishgreat talent pool,9.0
well educated persons,9.0
unique problem statements,9.0
things happening togethersalary,9.0
talent sourcingsmart colleagues,9.0
tackling challenges head,9.0
super quick deliveries,9.0
strong tech guys3,9.0
snacksgood paymordern teamlots,9.0
scenario may change,9.0
perks keep improving,9.0
pathetic bpo jobs,9.0
past 9 months,9.0
ola shuttle vertical,9.0
"official usage ""+",9.0
much pressurefree foodtravel,9.0
mostly bad parts1,9.0
market analysis awesome,9.0
management easily approachablethere,9.0
mac book pro,9.0
mac book laptopchoice,9.0
looking mainly emails,9.0
lively teammatesmultidisciplinary learningif,9.0
liberal dress codes4,9.0
less processes makes,9.0
learngood salaryrecently started,9.0
keep sending messages,9.0
ivy league etc,9.0
industry travel field1,9.0
indias top minds,9.0
increments avery yeardynamic,9.0
iim iit lots,9.0
highly talented colleagues,9.0
highly skilled talent,9.0
helpful colleagues freedom,9.0
growthbrand name association,9.0
giving minimum responce,9.0
gives free rides,9.0
give enough thoughts,9.0
fully loaded cafeteria,9.0
full fledged pantry,9.0
free lunch etc,9.0
free foodmarket leader,9.0
free foodcab facility,9.0
find awesome mentors,9.0
felt immense growth,9.0
entry level engineers,9.0
drive changegood services,9.0
donkeygood tech stack,9.0
distributed system designing4,9.0
customer service executive,9.0
customer care associate,9.0
corn flakes etc,9.0
compulsory formals required,9.0
colleagues quite intelligent,9.0
bug fixes rather,9.0
big brand name,9.0
best service provider,9.0
benefitsso much chaos,9.0
benefits endchill atmosphere,9.0
awesome gymawesome teammates,9.0
ask questionsfree lunch,9.0
approachable senior management,9.0
appreciate ola management,9.0
ambitious leaderscab facility,9.0
ambitious ceomany things,9.0
almost zero politics,9.0
achieve best position,9.0
